dataset,llm,combo,config,is_combo_selection_config,quality_score,correctness_mean,faithfulness_mean,answer_relevance_mean,overall_mean,answer_accuracy,context_sufficiency_rate,generation_failure_rate,retrieval_failure_rate,latency_mean_ms
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_k_rr,False,73.2,60.0,80.0,90.0,63.6,60.0,90.0,40.0,10.0,15243.6315
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_k_rr_grounded,False,86.0,60.0,100.0,100.0,62.0,60.0,100.0,40.0,0.0,15140.3789
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_s,False,71.5,60.0,70.0,100.0,66.4,60.0,80.0,20.0,20.0,1326.267
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_s_grounded,False,82.0,70.0,90.0,100.0,75.0,70.0,80.0,10.0,20.0,1304.6514
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_s_rr,True,74.65,70.0,65.0,94.0,71.0,70.0,90.0,20.0,10.0,1339.7989
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_s_rr_grounded,True,96.5,90.0,100.0,100.0,92.0,90.0,100.0,10.0,0.0,1226.0784
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_k,False,45.0,50.0,30.0,70.0,53.0,50.0,50.0,20.0,50.0,33033.311
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_k_grounded,False,87.375,100.0,98.5,99.0,96.5,100.0,40.0,0.0,60.0,32919.0032
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_k_rr,False,70.3,70.0,60.0,88.0,73.2,70.0,80.0,30.0,20.0,39613.5111
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_k_rr_grounded,False,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.0,50.0,39461.1064
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_s,False,73.3,60.0,70.0,78.0,66.7,60.0,100.0,40.0,0.0,1940.9615
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_s_grounded,False,86.1,80.0,82.0,94.0,78.5,80.0,100.0,20.0,0.0,1923.7617
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_s_rr,True,79.0,60.0,80.0,100.0,67.0,60.0,100.0,40.0,0.0,1986.6667
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_s_rr_grounded,True,82.5,70.0,80.0,100.0,74.0,70.0,100.0,30.0,0.0,1958.9522
triviaqa,llama3.2:latest,bge-base__bge-reranker,no_rag,False,31.0,60.0,0.0,100.0,46.0,60.0,0.0,0.0,100.0,293.0276
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_k,False,74.7,50.0,80.0,92.0,54.6,50.0,100.0,50.0,0.0,18745.9875
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_k_grounded,False,76.0,70.0,70.0,90.0,73.0,70.0,40.0,20.0,60.0,18609.5335
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_k_rr,False,73.5,70.0,60.0,80.0,71.3,70.0,100.0,30.0,0.0,15430.9834
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_k_rr_grounded,False,82.5,50.0,100.0,100.0,60.0,50.0,100.0,50.0,0.0,15261.2057
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_s,False,79.0,70.0,70.0,100.0,74.6,70.0,100.0,30.0,0.0,1327.857
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_s_grounded,False,87.5,80.0,90.0,100.0,83.0,80.0,70.0,10.0,30.0,1302.9396
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_s_rr,True,82.0,80.0,80.0,100.0,81.5,80.0,80.0,0.0,20.0,1439.8624
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_s_rr_grounded,True,89.0,80.0,100.0,100.0,83.5,80.0,90.0,20.0,10.0,1356.5085
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_k,False,53.8,60.0,40.0,88.0,64.5,60.0,50.0,10.0,30.0,33026.5536
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_k_grounded,False,99.375,100.0,98.5,99.0,99.3,100.0,40.0,0.0,60.0,32918.7077
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_k_rr,False,53.65,50.0,47.0,71.0,56.1,50.0,80.0,40.0,20.0,39699.0047
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_k_rr_grounded,False,73.65,40.0,87.0,92.0,42.1,40.0,100.0,60.0,0.0,39663.8411
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_s,False,69.75,60.0,60.0,77.5,65.2,60.0,100.0,40.0,0.0,1941.0318
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_s_grounded,False,78.0,70.0,70.0,90.0,72.2,70.0,100.0,30.0,0.0,1923.2943
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_s_rr,True,85.35,79.0,82.0,96.0,81.2,80.0,100.0,20.0,0.0,2136.2594
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_s_rr_grounded,True,73.9,70.0,60.0,84.0,71.1,70.0,100.0,30.0,0.0,2169.816
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,no_rag,False,34.5,70.0,0.0,100.0,66.0,70.0,0.0,0.0,100.0,299.4366
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_k,False,81.3,92.0,74.0,92.0,83.0,90.0,60.0,10.0,40.0,18748.4642
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_k_grounded,False,65.0,20.0,80.0,100.0,24.0,20.0,100.0,80.0,0.0,18611.7354
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_k_rr,False,55.8,50.0,40.0,78.0,56.7,50.0,90.0,50.0,10.0,15284.5004
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_k_rr_grounded,False,79.0,50.0,90.0,100.0,59.0,50.0,100.0,50.0,0.0,15153.9584
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_s,False,87.5,80.0,90.0,100.0,84.0,80.0,90.0,20.0,10.0,961.488
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_s_grounded,False,82.0,70.0,90.0,100.0,75.6,70.0,80.0,10.0,20.0,828.8386
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_s_rr,True,89.5,80.0,90.0,100.0,84.0,80.0,100.0,20.0,0.0,925.2808
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_s_rr_grounded,True,89.5,80.0,90.0,100.0,84.0,80.0,100.0,20.0,0.0,926.0154
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_k,False,56.5,30.0,80.0,100.0,42.0,30.0,40.0,10.0,60.0,33025.6677
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_k_grounded,False,67.0,50.0,90.0,100.0,51.7,50.0,40.0,0.0,60.0,32919.2344
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_k_rr,False,67.65,40.0,79.0,100.0,47.7,40.0,80.0,40.0,20.0,39585.1221
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_k_rr_grounded,False,93.0,100.0,80.0,100.0,98.5,100.0,60.0,0.0,40.0,39878.9488
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_s,False,78.125,70.0,74.5,79.5,74.6,70.0,100.0,30.0,0.0,1234.333
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_s_grounded,False,79.5,70.0,80.0,90.0,74.3,70.0,90.0,20.0,10.0,1131.3272
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_s_rr,True,81.5,80.0,70.0,90.0,80.3,80.0,100.0,30.0,0.0,1268.0465
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_s_rr_grounded,True,84.4,80.0,80.0,84.0,82.5,80.0,100.0,20.0,0.0,1265.4236
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,no_rag,False,38.0,80.0,0.0,100.0,58.0,80.0,0.0,0.0,100.0,296.122
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,baseline_k,False,62.9,60.0,38.0,86.0,60.4,60.0,100.0,40.0,0.0,18743.6973
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,baseline_k_grounded,False,65.0,20.0,82.0,93.0,81.8,20.0,100.0,80.0,0.0,18602.1769
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,baseline_k_rr,False,64.0,60.0,60.0,80.0,60.5,60.0,70.0,20.0,30.0,15242.2351
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,baseline_k_rr_grounded,False,86.0,60.0,100.0,100.0,68.0,60.0,100.0,40.0,0.0,15139.983
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,baseline_s,False,90.0,80.0,92.0,98.0,84.0,80.0,100.0,20.0,0.0,949.8729
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,baseline_s_grounded,False,86.0,70.0,90.0,100.0,75.5,70.0,100.0,30.0,0.0,830.1695
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,baseline_s_rr,True,86.6,80.0,84.0,95.0,79.5,80.0,100.0,20.0,0.0,980.6826
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,baseline_s_rr_grounded,True,89.5,80.0,90.0,100.0,84.0,80.0,100.0,20.0,0.0,897.297
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,optimized_k,False,64.1,60.0,62.0,94.0,61.5,60.0,40.0,10.0,60.0,33025.5286
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,optimized_k_grounded,False,89.475,100.0,98.5,100.0,95.1,100.0,40.0,0.0,60.0,32921.7308
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,optimized_k_rr,False,61.0,60.0,60.0,70.0,62.5,60.0,60.0,10.0,40.0,39614.2397
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,optimized_k_rr_grounded,False,93.0,90.0,90.0,100.0,91.0,90.0,100.0,10.0,0.0,39465.4009
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,optimized_s,False,81.9,80.0,70.0,94.0,82.2,80.0,100.0,20.0,0.0,1234.4049
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,optimized_s_grounded,False,85.0,80.0,80.0,90.0,81.0,80.0,100.0,20.0,0.0,1132.6155
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,optimized_s_rr,True,87.1,88.0,78.0,90.0,87.7,80.0,100.0,20.0,0.0,1186.818
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L6,optimized_s_rr_grounded,True,93.0,90.0,90.0,100.0,91.0,90.0,100.0,10.0,0.0,1206.3038
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,no_rag,False,34.5,70.0,0.0,100.0,52.0,70.0,0.0,0.0,100.0,297.7098
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,baseline_k,False,77.0,90.0,66.0,92.0,78.6,90.0,60.0,10.0,40.0,18749.5285
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,baseline_k_grounded,False,64.0,20.0,80.0,90.0,79.5,20.0,100.0,80.0,0.0,18613.1568
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,baseline_k_rr,False,63.0,50.0,50.0,80.0,55.5,50.0,100.0,50.0,0.0,15445.5152
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,baseline_k_rr_grounded,False,86.0,60.0,100.0,100.0,68.0,60.0,100.0,40.0,0.0,15273.9241
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,baseline_s,False,89.3,80.0,90.0,98.0,83.5,80.0,100.0,20.0,0.0,956.4763
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,baseline_s_grounded,False,82.0,70.0,90.0,100.0,75.8,70.0,80.0,10.0,20.0,842.3072
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,baseline_s_rr,True,95.44999999999999,90.0,97.0,100.0,90.8,90.0,100.0,10.0,0.0,1070.5147
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,baseline_s_rr_grounded,True,100.0,100.0,100.0,100.0,99.8,100.0,100.0,0.0,0.0,1057.5159
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,optimized_k,False,59.0,40.0,80.0,90.0,46.5,40.0,40.0,10.0,60.0,33037.1848
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,optimized_k_grounded,False,71.8,50.0,98.0,100.0,59.8,50.0,40.0,0.0,60.0,32935.4028
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,optimized_k_rr,False,58.95,50.0,50.0,79.5,55.3,50.0,80.0,40.0,20.0,39710.5906
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,optimized_k_rr_grounded,False,64.5,40.0,90.0,90.0,51.0,40.0,50.0,10.0,50.0,39664.5514
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,optimized_s,False,73.65,60.0,70.0,81.5,68.0,60.0,100.0,40.0,0.0,1243.2747
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,optimized_s_grounded,False,85.0,80.0,80.0,90.0,81.5,80.0,100.0,20.0,0.0,1136.518
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,optimized_s_rr,True,74.9,70.0,60.0,94.0,74.3,70.0,100.0,30.0,0.0,1505.1827
triviaqa,llama3.2:latest,multi-qa-mini__bge-reranker,optimized_s_rr_grounded,True,81.5,70.0,80.0,90.0,71.5,70.0,100.0,30.0,0.0,1334.7711
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,no_rag,False,27.5,50.0,0.0,100.0,35.0,50.0,0.0,0.0,100.0,830.7716
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_k,False,79.69999999999999,50.0,92.0,100.0,54.0,50.0,100.0,50.0,0.0,18753.1706
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_k_grounded,False,85.0,80.0,80.0,90.0,80.0,80.0,100.0,20.0,0.0,18610.9707
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_k_rr,False,53.35,50.0,42.0,78.5,51.0,50.0,90.0,50.0,10.0,15293.5089
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_k_rr_grounded,False,79.0,50.0,90.0,100.0,59.0,50.0,60.0,10.0,40.0,15161.534
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_s,False,59.15,50.0,58.0,93.5,62.6,50.0,60.0,10.0,40.0,1334.2506
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_s_grounded,False,82.0,70.0,90.0,100.0,70.0,70.0,80.0,10.0,20.0,1310.3363
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_s_rr,True,68.0,60.0,60.0,80.0,62.5,60.0,90.0,30.0,10.0,1319.654
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,baseline_s_rr_grounded,True,86.0,70.0,90.0,100.0,76.0,70.0,100.0,30.0,0.0,1276.9825
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_k,False,44.0,40.0,40.0,80.0,42.5,40.0,40.0,10.0,60.0,33029.7022
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_k_grounded,False,63.5,40.0,90.0,100.0,51.5,40.0,40.0,0.0,60.0,32928.4252
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_k_rr,False,62.5,30.0,80.0,100.0,38.0,30.0,70.0,40.0,30.0,39592.3944
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_k_rr_grounded,False,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,39877.8247
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_s,False,72.475,60.0,69.5,78.5,67.3,60.0,100.0,40.0,0.0,1946.7662
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_s_grounded,False,82.4,70.0,82.0,94.0,72.2,70.0,100.0,30.0,0.0,1927.1402
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_s_rr,True,70.925,59.0,59.5,96.5,61.8,60.0,100.0,40.0,0.0,2011.4126
triviaqa,llama3.2:latest,bge-base__ms-marco-L12,optimized_s_rr_grounded,True,82.5,70.0,80.0,100.0,74.0,70.0,100.0,30.0,0.0,2138.3235
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,no_rag,False,34.5,70.0,0.0,100.0,52.0,70.0,0.0,0.0,100.0,293.7051
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_k,False,67.1,40.0,66.0,100.0,49.8,40.0,100.0,60.0,0.0,18749.6394
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_k_grounded,False,52.9,20.0,82.0,92.0,35.3,20.0,40.0,20.0,60.0,18612.4883
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_k_rr,False,67.5,70.0,60.0,80.0,68.5,70.0,70.0,10.0,10.0,15253.7194
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_k_rr_grounded,False,83.5,70.0,100.0,100.0,76.0,70.0,70.0,0.0,30.0,15143.8635
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_s,False,82.0,70.0,90.0,100.0,75.0,70.0,80.0,10.0,20.0,1331.0988
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_s_grounded,False,89.0,90.0,90.0,100.0,88.0,90.0,70.0,10.0,30.0,1308.8559
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_s_rr,True,77.1,70.0,72.0,94.0,74.5,70.0,90.0,20.0,10.0,1351.6882
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,baseline_s_rr_grounded,True,98.0,100.0,100.0,100.0,99.0,100.0,80.0,0.0,20.0,1247.5452
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_k,False,61.0,60.0,60.0,70.0,61.5,60.0,60.0,10.0,40.0,33033.5699
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_k_grounded,False,63.5,40.0,90.0,100.0,49.0,40.0,40.0,0.0,60.0,32926.9212
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_k_rr,False,68.0,50.0,70.0,100.0,59.0,50.0,80.0,30.0,20.0,39622.0026
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_k_rr_grounded,False,86.0,60.0,100.0,100.0,64.0,60.0,100.0,40.0,0.0,39468.982
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_s,False,73.65,60.0,71.0,78.0,66.5,60.0,100.0,40.0,0.0,1950.2015
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_s_grounded,False,79.35,70.0,73.0,93.0,73.5,70.0,100.0,30.0,0.0,1929.1317
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_s_rr,True,75.5,60.0,70.0,100.0,66.5,60.0,100.0,40.0,0.0,1993.9532
triviaqa,llama3.2:latest,bge-base__ms-marco-L6,optimized_s_rr_grounded,True,86.0,80.0,80.0,100.0,82.0,80.0,100.0,20.0,0.0,1975.1351
triviaqa,llama3.2:latest,bge-base__bge-reranker,no_rag,False,34.5,70.0,0.0,100.0,62.0,70.0,0.0,0.0,100.0,296.5317
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_k,False,87.19999999999999,90.0,76.0,95.0,86.6,90.0,100.0,10.0,0.0,18752.6781
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_k_grounded,False,85.0,80.0,80.0,90.0,82.0,80.0,100.0,20.0,0.0,18607.5622
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_k_rr,False,73.5,60.0,70.0,80.0,66.0,60.0,100.0,40.0,0.0,15435.745
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_k_rr_grounded,False,89.0,80.0,100.0,100.0,84.0,80.0,80.0,0.0,20.0,15266.6625
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_s,False,75.0,60.0,80.0,100.0,63.0,60.0,80.0,20.0,20.0,1335.0591
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_s_grounded,False,78.5,60.0,90.0,100.0,66.0,60.0,80.0,20.0,20.0,1306.4439
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_s_rr,True,79.0,60.0,80.0,100.0,66.5,60.0,100.0,40.0,0.0,1445.2304
triviaqa,llama3.2:latest,bge-base__bge-reranker,baseline_s_rr_grounded,True,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1360.2105
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_k,False,55.0,50.0,50.0,80.0,54.5,50.0,60.0,10.0,40.0,33030.125
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_k_grounded,False,99.65,100.0,99.0,100.0,99.7,100.0,40.0,0.0,60.0,32927.6865
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_k_rr,False,59.0,50.0,50.0,100.0,58.0,50.0,70.0,30.0,30.0,39703.9209
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_k_rr_grounded,False,92.39999999999999,90.0,90.0,94.0,91.5,90.0,50.0,10.0,50.0,39671.7702
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_s,False,72.39999999999999,60.0,68.0,76.0,66.0,60.0,100.0,40.0,0.0,1944.6181
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_s_grounded,False,78.5,70.0,70.0,95.0,74.5,70.0,100.0,30.0,0.0,1930.2639
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_s_rr,True,80.75,77.5,70.5,92.5,78.9,80.0,100.0,20.0,0.0,2144.0553
triviaqa,llama3.2:latest,bge-base__bge-reranker,optimized_s_rr_grounded,True,91.8,80.0,100.0,88.0,81.0,80.0,100.0,20.0,0.0,2174.9116
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,no_rag,False,38.0,80.0,0.0,100.0,45.0,80.0,0.0,0.0,100.0,294.4088
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_k,False,74.89999999999999,58.0,78.0,93.0,54.7,60.0,90.0,40.0,10.0,18752.4883
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_k_grounded,False,64.4,20.0,80.0,94.0,34.0,20.0,100.0,80.0,0.0,18608.7291
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_k_rr,False,58.7,50.0,40.0,92.0,53.6,50.0,90.0,50.0,10.0,15293.118
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_k_rr_grounded,False,82.5,50.0,100.0,100.0,52.5,50.0,100.0,50.0,0.0,15160.7984
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_s,False,89.5,80.0,90.0,100.0,83.0,80.0,100.0,20.0,0.0,959.0847
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_s_grounded,False,85.4,70.0,94.0,100.0,73.5,70.0,90.0,20.0,10.0,837.3745
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_s_rr,True,89.5,80.0,90.0,100.0,83.5,80.0,100.0,20.0,0.0,934.1859
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,baseline_s_rr_grounded,True,93.0,90.0,90.0,100.0,92.0,90.0,100.0,10.0,0.0,931.0833
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_k,False,56.5,60.0,30.0,70.0,62.0,60.0,90.0,30.0,10.0,33030.8091
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_k_grounded,False,68.8,50.0,90.0,98.0,59.5,50.0,50.0,0.0,50.0,32925.9885
triviaqa,llama3.2:latest,multi-qa-mini__ms-marco-L12,optimized_k_rr,False,60.0,40.0,60.0,90.0,41.0,40.0,90.0,50.0,10.0,39585.7564
